Country,TCU,Sales,duration_of_career,Artist
UK,290.4,600,10,The Beatles
US,231.2,500,23,Elvis Presley
US,277.3,400,45,Michael Jackson
UK,208.0,300,58,Elton John
UK,184.0,300,51,Queen
US,181.7,300,43,Madonna
UK,142.4,300,12,Led Zeppelin
Barbados,335.3,250,17,Rihanna
UK,123.8,250,49,Pink Floyd
US,325.7,220,26,Eminem
US,205.8,220,34,Mariah Carey
US,250.4,200,16,Taylor Swift
US,226.5,200,25,Beyoncé
US,155.3,200,35,Whitney Houston
US,152.2,200,51,Eagles
Canada,143.0,200,41,Celine Dion
Australia,130.2,200,49,AC/DC
UK,102.7,200,60,The Rolling Stones
Canada,413.06,170,21,Drake
US,165.3,170,33,Garth Brooks
US,258.3,160,26,Kanye West
US,134.4,160,58,Billy Joel
Canada,277.9,150,14,Justin Bieber
US,277.9,150,14,Justin Bieber
UK,246.7,150,18,Ed Sheeran
US,203.6,150,18,Bruno Mars
US,127.9,150,50,Bruce Springsteen
Ireland,114.6,150,46,U2
US,104.8,150,52,Aerosmith
UK,99.4,150,42,Phil Collins
US,98.4,150,62,Barbra Streisand
Sweden,69.0,150,50,ABBA
US,40.2,150,60,Frank Sinatra
US,172.9,143,21,Katy Perry
US,199.7,140,17,Chris Brown
US,136.4,125,26,Jay-Z
US,105.6,125,41,Metallica
US,159.0,124,17,Lady Gaga
US,188.7,120,26,Lil Wayne
US,142.6,120,28,Maroon 5
UK,135.4,120,16,Adele
US,99.8,120,39,Red Hot Chili Peppers
UK,94.4,120,55,Fleetwood Mac
US,94.4,120,55,Fleetwood Mac
US,88.7,120,39,Bon Jovi
UK,84.9,120,58,Rod Stewart
UK,74.7,120,40,Bee Gees
Australia,74.7,120,40,Bee Gees
Trinidad-Tobago,156.3,100,14,Nicki Minaj
UK,109.4,100,26,Coldplay
US,101.8,100,26,Linkin Park
US,99.8,100,41,George Strait
US,90.8,100,27,Pink
US,88.7,100,24,Britney Spears
Japan,86.2,100,34,B'z
Canada,84.8,100,29,Shania Twain
US,80.409,100,37,Guns N' Roses
US,78.0,100,29,Backstreet Boys
UK,71.6,100,60,Eric Clapton
US,71.1,100,56,Neil Diamond
US,66.3,100,40,Prince
US,65.2,100,49,Journey
UK,66.0,100,62,Paul McCartney
US,65.3,100,40,Janet Jackson
US,64.7,100,62,Kenny Rogers
US,62.8,100,56,Santana
US,62.1,100,48,Simon & Garfunkel
UK,52.8,100,35,George Michael
Spain,51.7,100,54,Julio Iglesias
UK,51.7,100,18,Dire Straits
US,50.5,100,8,The Doors
UK,50.4,100,46,Foreigner
US,50.4,100,46,Foreigner
US,48.5,100,55,Chicago
US,47.9,100,63,Bob Dylan
US,46.7,100,14,The Carpenters
US,46.6,100,54,Meat Loaf
US,44.7,100,53,"Earth, Wind & Fire"
US,43.1,100,58,Cher
UK,42.6,100,45,Def Leppard
UK,40.3,100,32,Genesis
UK,41.5,100,54,David Bowie
US,38.9,100,61,Stevie Wonder
US,36.5,100,54,James Taylor
US,36.4,100,51,Tina Turner
Australia,36.1,100,56,Olivia Newton-John
US,33.2,100,44,Linda Ronstadt
US,32.7,100,61,The Beach Boys
US,31.3,100,44,Donna Summer
US,85.9,90,26,Alicia Keys
US,76.6,100,29,Christina Aguilera
US,43.0,90,54,Lionel Richie
US,32.2,90,49,Johnny Cash
US,83.0,88,30,Justin Timberlake
US,143.2,85,14,Ariana Grande
US,45.3,85,31,R.E.M.
US,207.0,80,9,Post Malone
US,85.0,80,15,Flo Rida
US,76.6,80,31,Usher
Colombia,75.0,80,34,Shakira
US,72.3,80,32,Tim McGraw
US,69.8,80,27,The Black Eyed Peas
US,65.2,80,42,Van Halen
Japan,64.5,80,24,Ayumi Hamasaki
US,36.0,80,41,Tom Petty
France,28.9,80,60,Johnny Hallyday
Canada,213.4,75,12,The Weeknd
US,124.4,75,14,Imagine Dragons
US,84.5,75,21,Luke Bryan
US,60.1,75,5,Tupac Shakur
US,58.0,75,50,Alabama
US,56.8,75,30,R. Kelly
US,56.0,75,7,Nirvana
UK,55.9,75,32,Robbie Williams
US,55.3,75,61,Bob Seger
US,53.9,75,40,Kenny G
US,53.0,75,35,Green Day
Ireland,51.9,75,40,Enya
Canada,49.9,75,43,Bryan Adams
Jamaica,46.3,75,19,Bob Marley
UK,42.2,75,9,The Police
US,37.6,75,47,Gloria Estefan
US,36.7,75,49,Barry Manilow
US,28.7,75,50,Kiss
US,26.6,75,62,Aretha Franklin
