year,Country,Count
1935,UK,0
1935,US,1
1935,Barbados,0
1935,Canada,0
1935,Australia,0
1935,Ireland,0
1935,Sweden,0
1935,Trinidad-Tobago,0
1935,Japan,0
1935,Spain,0
1935,Colombia,0
1935,France,0
1935,Jamaica,0
1936,UK,0
1936,US,1
1936,Barbados,0
1936,Canada,0
1936,Australia,0
1936,Ireland,0
1936,Sweden,0
1936,Trinidad-Tobago,0
1936,Japan,0
1936,Spain,0
1936,Colombia,0
1936,France,0
1936,Jamaica,0
1937,UK,0
1937,US,1
1937,Barbados,0
1937,Canada,0
1937,Australia,0
1937,Ireland,0
1937,Sweden,0
1937,Trinidad-Tobago,0
1937,Japan,0
1937,Spain,0
1937,Colombia,0
1937,France,0
1937,Jamaica,0
1938,UK,0
1938,US,1
1938,Barbados,0
1938,Canada,0
1938,Australia,0
1938,Ireland,0
1938,Sweden,0
1938,Trinidad-Tobago,0
1938,Japan,0
1938,Spain,0
1938,Colombia,0
1938,France,0
1938,Jamaica,0
1939,UK,0
1939,US,1
1939,Barbados,0
1939,Canada,0
1939,Australia,0
1939,Ireland,0
1939,Sweden,0
1939,Trinidad-Tobago,0
1939,Japan,0
1939,Spain,0
1939,Colombia,0
1939,France,0
1939,Jamaica,0
1940,UK,0
1940,US,1
1940,Barbados,0
1940,Canada,0
1940,Australia,0
1940,Ireland,0
1940,Sweden,0
1940,Trinidad-Tobago,0
1940,Japan,0
1940,Spain,0
1940,Colombia,0
1940,France,0
1940,Jamaica,0
1941,UK,0
1941,US,1
1941,Barbados,0
1941,Canada,0
1941,Australia,0
1941,Ireland,0
1941,Sweden,0
1941,Trinidad-Tobago,0
1941,Japan,0
1941,Spain,0
1941,Colombia,0
1941,France,0
1941,Jamaica,0
1942,UK,0
1942,US,1
1942,Barbados,0
1942,Canada,0
1942,Australia,0
1942,Ireland,0
1942,Sweden,0
1942,Trinidad-Tobago,0
1942,Japan,0
1942,Spain,0
1942,Colombia,0
1942,France,0
1942,Jamaica,0
1943,UK,0
1943,US,1
1943,Barbados,0
1943,Canada,0
1943,Australia,0
1943,Ireland,0
1943,Sweden,0
1943,Trinidad-Tobago,0
1943,Japan,0
1943,Spain,0
1943,Colombia,0
1943,France,0
1943,Jamaica,0
1944,UK,0
1944,US,1
1944,Barbados,0
1944,Canada,0
1944,Australia,0
1944,Ireland,0
1944,Sweden,0
1944,Trinidad-Tobago,0
1944,Japan,0
1944,Spain,0
1944,Colombia,0
1944,France,0
1944,Jamaica,0
1945,UK,0
1945,US,1
1945,Barbados,0
1945,Canada,0
1945,Australia,0
1945,Ireland,0
1945,Sweden,0
1945,Trinidad-Tobago,0
1945,Japan,0
1945,Spain,0
1945,Colombia,0
1945,France,0
1945,Jamaica,0
1946,UK,0
1946,US,1
1946,Barbados,0
1946,Canada,0
1946,Australia,0
1946,Ireland,0
1946,Sweden,0
1946,Trinidad-Tobago,0
1946,Japan,0
1946,Spain,0
1946,Colombia,0
1946,France,0
1946,Jamaica,0
1947,UK,0
1947,US,1
