source,target,value
Canada,Drake,413.06
Drake,hip-hop,137.6867
Drake,r&b,137.6867
Drake,pop,137.6867
Barbados,Rihanna,335.3
Rihanna,r&b,83.825
Rihanna,pop,83.825
Rihanna,dance,83.825
Rihanna,hip-hop,83.825
United States,Eminem,325.7
Eminem,hip-hop,325.7
United Kingdom,The Beatles,290.4
The Beatles,rock,145.2
The Beatles,pop,145.2
United States,Justin Bieber,138.95
Justin Bieber,pop,92.6333
Justin Bieber,teen pop,92.6333
Justin Bieber,dance pop,92.6333
Canada,Justin Bieber,138.95
United States,Michael Jackson,277.3
Michael Jackson,pop,55.46
Michael Jackson,rock,55.46
Michael Jackson,dance,55.46
Michael Jackson,soul,55.46
Michael Jackson,r&b,55.46
United States,Kanye West,258.3
Kanye West,hip-hop,86.1
Kanye West,electronic,86.1
Kanye West,pop,86.1
United States,Taylor Swift,250.4
Taylor Swift,pop,50.08
Taylor Swift,country,50.08
Taylor Swift,rock,50.08
Taylor Swift,folk,50.08
Taylor Swift,alternative,50.08
United Kingdom,Ed Sheeran,246.7
Ed Sheeran,pop,123.35
Ed Sheeran,folk pop,123.35
teen pop,pop,92.6
dance pop,pop,92.6
folk pop,pop,61.7
soul,r&b and soul,55.5
r&b,r&b and soul,277.0
folk pop,folk,61.7
