source,target,value
Canada,Drake,413.06
Drake,hip-hop,137.6867
Drake,r&b,137.6867
Drake,pop,137.6867
Barbados,Rihanna,335.3
Rihanna,r&b,83.825
Rihanna,pop,83.825
Rihanna,dance,83.825
Rihanna,hip-hop,83.825
United States,Eminem,325.7
Eminem,hip-hop,325.7
United Kingdom,The Beatles,290.4
The Beatles,rock,145.2
The Beatles,pop,145.2
United States,Justin Bieber,138.95
Justin Bieber,pop,92.6333
Justin Bieber,teen pop,92.6333
Justin Bieber,dance pop,92.6333
Canada,Justin Bieber,138.95
United States,Michael Jackson,277.3
Michael Jackson,pop,55.46
Michael Jackson,rock,55.46
Michael Jackson,dance,55.46
Michael Jackson,soul,55.46
Michael Jackson,r&b,55.46
United States,Kanye West,258.3
Kanye West,hip-hop,86.1
Kanye West,electronic,86.1
Kanye West,pop,86.1
United States,Taylor Swift,250.4
Taylor Swift,pop,50.08
Taylor Swift,country,50.08
Taylor Swift,rock,50.08
Taylor Swift,folk,50.08
Taylor Swift,alternative,50.08
United Kingdom,Ed Sheeran,246.7
Ed Sheeran,pop,123.35
Ed Sheeran,folk pop,123.35
United States,Elvis Presley,231.2
Elvis Presley,rock and roll,77.0667
Elvis Presley,pop,77.0667
Elvis Presley,country,77.0667
United States,Beyoncé,226.5
Beyoncé,r&b,113.25
Beyoncé,pop,113.25
Canada,The Weeknd,213.4
The Weeknd,pop,106.7
The Weeknd,r&b,106.7
United Kingdom,Elton John,208.0
Elton John,pop,104.0
Elton John,rock,104.0
United States,Post Malone,207.0
Post Malone,pop,69.0
Post Malone,r&b,69.0
Post Malone,hip-hop,69.0
United States,Mariah Carey,205.8
Mariah Carey,r&b,51.45
Mariah Carey,pop,51.45
Mariah Carey,soul,51.45
Mariah Carey,hip-hop,51.45
United States,Bruno Mars,203.6
Bruno Mars,pop rock,101.8
Bruno Mars,r&b,101.8
United States,Chris Brown,199.7
Chris Brown,pop,66.5667
Chris Brown,r&b,66.5667
Chris Brown,hip-hop,66.5667
United States,Lil Wayne,188.7
Lil Wayne,hip-hop,188.7
United Kingdom,Queen,184.0
Queen,rock,184.0
