year,Country,Count
1935,United Kingdom,0
1935,United States,1
1935,Barbados,0
1935,Canada,0
1935,Australia,0
1935,Ireland,0
1935,Sweden,0
1935,Trinidad and Tobago,0
1935,Japan,0
1935,Spain,0
1935,Colombia,0
1935,France,0
1935,Jamaica,0
1936,United Kingdom,0
1936,United States,1
1936,Barbados,0
1936,Canada,0
1936,Australia,0
1936,Ireland,0
1936,Sweden,0
1936,Trinidad and Tobago,0
1936,Japan,0
1936,Spain,0
1936,Colombia,0
1936,France,0
1936,Jamaica,0
1937,United Kingdom,0
1937,United States,1
1937,Barbados,0
1937,Canada,0
1937,Australia,0
1937,Ireland,0
1937,Sweden,0
1937,Trinidad and Tobago,0
1937,Japan,0
1937,Spain,0
1937,Colombia,0
1937,France,0
1937,Jamaica,0
1938,United Kingdom,0
1938,United States,1
1938,Barbados,0
1938,Canada,0
1938,Australia,0
1938,Ireland,0
1938,Sweden,0
1938,Trinidad and Tobago,0
1938,Japan,0
1938,Spain,0
1938,Colombia,0
1938,France,0
1938,Jamaica,0
1939,United Kingdom,0
1939,United States,1
1939,Barbados,0
1939,Canada,0
1939,Australia,0
1939,Ireland,0
1939,Sweden,0
1939,Trinidad and Tobago,0
1939,Japan,0
1939,Spain,0
1939,Colombia,0
1939,France,0
1939,Jamaica,0
1940,United Kingdom,0
1940,United States,1
1940,Barbados,0
1940,Canada,0
1940,Australia,0
1940,Ireland,0
1940,Sweden,0
1940,Trinidad and Tobago,0
1940,Japan,0
1940,Spain,0
1940,Colombia,0
1940,France,0
1940,Jamaica,0
1941,United Kingdom,0
1941,United States,1
1941,Barbados,0
1941,Canada,0
1941,Australia,0
1941,Ireland,0
1941,Sweden,0
1941,Trinidad and Tobago,0
1941,Japan,0
1941,Spain,0
1941,Colombia,0
1941,France,0
1941,Jamaica,0
1942,United Kingdom,0
1942,United States,1
1942,Barbados,0
1942,Canada,0
1942,Australia,0
1942,Ireland,0
1942,Sweden,0
1942,Trinidad and Tobago,0
1942,Japan,0
1942,Spain,0
1942,Colombia,0
1942,France,0
1942,Jamaica,0
1943,United Kingdom,0
1943,United States,1
1943,Barbados,0
1943,Canada,0
