source,target,value
Canada,Drake,413.06
Drake,hip-hop,137.6867
Drake,r&b and soul,137.6867
Drake,pop,137.6867
Barbados,Rihanna,335.3
Rihanna,r&b and soul,83.825
Rihanna,pop,83.825
Rihanna,dance,83.825
Rihanna,hip-hop,83.825
United States,Eminem,325.7
Eminem,hip-hop,325.7
United Kingdom,The Beatles,290.4
The Beatles,rock,145.2
The Beatles,pop,145.2
United States,Justin Bieber,138.95
Justin Bieber,pop,277.9
Canada,Justin Bieber,138.95
United States,Michael Jackson,277.3
Michael Jackson,pop,55.46
Michael Jackson,rock,55.46
Michael Jackson,dance,55.46
Michael Jackson,r&b and soul,110.92
United States,Kanye West,258.3
Kanye West,hip-hop,86.1
Kanye West,electronic,86.1
Kanye West,pop,86.1
United States,Taylor Swift,250.4
Taylor Swift,pop,50.08
Taylor Swift,country,50.08
Taylor Swift,rock,50.08
Taylor Swift,folk,50.08
Taylor Swift,alternative,50.08
United Kingdom,Ed Sheeran,246.7
Ed Sheeran,pop,246.7
